Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications,part_time_job,absence_days,weekly_self_study_hours
Computer Science,Data Scientist,3.621420878875026,0,0,0,1,5,0,2,1,4,3,0,2,4,0,0,0,0
Business,Mechanical Engineer,2.7599211820518037,1,1,2,0,4,0,0,0,0,3,2,4,4,1,0,0,0
Physics,Urban Planner,3.74708005223676,7,2,2,1,2,0,3,1,1,1,3,1,4,1,0,0,0
Education,Biochemist,3.500019315410001,4,2,4,1,8,1,2,0,1,4,2,0,2,0,0,0,0
Engineering,Nuclear Physicist,2.929644640829822,0,0,2,1,3,1,2,1,4,1,0,3,1,0,0,0,0
Medicine,Market Research Analyst,2.8670739690819045,6,2,2,1,6,0,1,4,2,1,4,2,3,0,0,0,0
Biology,Aerospace Engineer,3.8951305108248526,9,0,3,1,8,1,2,3,1,1,2,0,4,1,0,0,0
Chemistry,Microbiologist,3.8695643464862863,6,1,4,1,8,0,3,4,4,2,3,1,3,0,0,0,0
Finance,Game Developer,3.752472237757201,1,2,1,1,0,1,3,0,3,0,4,2,0,1,0,0,0
Law,Conductor,3.5092061094428795,6,1,2,1,6,1,1,1,3,0,1,4,4,1,0,0,0
Art,Game Developer,4.543993395432022,3,0,0,1,5,0,1,0,0,2,0,2,1,0,0,0,0
Medicine,Animator,4.868112458444806,4,0,0,1,1,1,0,0,0,3,2,1,1,1,0,0,0
Law,Sound Engineer,3.5918948428140984,4,2,4,1,0,1,3,3,2,1,4,2,0,1,0,0,0
Psychology,Financial Advisor,3.561989740642229,5,1,1,1,1,1,0,0,2,3,1,0,3,0,0,0,0
Education,Curriculum Developer,3.4823549430047414,7,1,4,1,7,1,0,0,2,1,2,4,3,1,0,0,0
Law,Landscape Architect,3.062612942473321,0,0,3,0,6,1,0,2,0,0,1,1,3,1,0,0,0
Marketing,Manager,4.385635955324699,8,0,3,1,2,0,2,4,2,1,2,4,3,0,0,0,0
Marketing,Accountant,2.572426267357782,0,0,4,1,4,0,2,3,0,0,2,0,0,0,0,0,0
Physics,Ecologist,3.0655981145157054,7,0,3,0,7,0,1,3,4,1,3,1,2,0,0,0,0
Chemistry,Legal Analyst,3.926535042580322,0,2,1,1,5,1,2,3,4,3,0,0,1,0,0,0,0
Music,Organic Chemist,3.048544481664348,9,0,1,0,1,0,0,4,4,0,0,4,0,0,0,0,0
Finance,Web Developer,3.3873579653113475,0,1,3,1,4,1,2,0,3,3,2,1,1,0,0,0,0
Marketing,Industrial-Organizational Psychologist,4.647235248464243,3,2,3,0,3,0,2,2,3,4,1,4,0,0,0,0,0
Chemistry,Interior Designer,2.520192130328506,1,1,0,0,7,0,3,1,1,1,3,4,4,0,0,0,0
Physics,Aerospace Engineer,4.675831753841454,2,2,4,1,3,0,4,0,0,3,1,4,0,1,0,0,0
Art,Conductor,3.4753446162259887,1,0,0,1,2,0,2,4,1,2,3,0,0,0,0,0,0
Chemistry,Web Developer,4.215755640189045,1,0,2,0,7,0,2,3,4,3,4,2,3,1,0,0,0
Medicine,AI Researcher,3.748473690096581,9,2,0,0,5,1,1,0,0,2,0,4,4,0,0,0,0
Art,Aerospace Engineer,4.647663156368122,6,0,0,0,8,0,1,0,2,2,4,0,1,1,0,0,0
Education,Psychologist,3.889936345687226,6,1,0,0,7,0,3,4,0,4,2,0,3,1,0,0,0
Chemistry,Marketing Specialist,2.8090174336257374,9,0,2,0,4,0,1,2,3,4,1,0,1,0,0,0,0
Psychology,Risk Analyst,3.969376352477013,0,0,3,1,2,0,0,0,3,2,0,1,3,0,0,0,0
Law,Music Therapist,2.8915102368398724,3,0,2,1,6,0,3,0,1,1,0,4,3,1,0,0,0
Law,Interior Designer,3.138968178304591,0,1,1,0,4,0,1,1,2,2,0,0,3,0,0,0,0
Finance,Judge,2.5381646499431385,9,1,1,0,3,0,3,3,2,1,3,1,2,1,0,0,0
Medicine,Art Therapist,3.047476225015817,6,1,4,0,3,1,0,3,2,4,3,3,0,0,0,0,0
Engineering,Teacher,3.2267695431117165,5,0,1,1,1,1,0,1,1,0,2,2,1,0,0,0,0
Medicine,Entrepreneur,4.4096604694609045,2,1,4,0,9,0,3,0,2,3,1,3,4,1,0,0,0
Computer Science,Art Therapist,3.528697356766357,2,0,0,0,0,0,4,2,2,4,4,3,3,0,0,0,0
Marketing,Physicist,4.407120397209464,9,1,2,1,5,1,1,3,3,4,2,2,0,1,0,0,0
Law,Chemist,4.87526061928022,5,1,0,0,2,0,3,2,0,1,4,1,3,1,0,0,0
Architecture,Art Director,4.803756541848001,3,0,4,0,0,0,1,2,1,1,2,3,3,0,0,0,0
Architecture,Lawyer,3.977176081351389,4,2,2,0,1,0,3,0,2,0,0,0,3,0,0,0,0
Engineering,Inorganic Chemist,4.054943922412952,0,0,3,0,3,0,0,3,4,3,0,3,3,1,0,0,0
Finance,Brand Manager,3.086418262922494,8,0,1,0,4,0,1,3,4,0,3,2,1,1,0,0,0
Business,Nuclear Physicist,2.766411210226466,3,1,3,1,7,0,0,4,2,2,0,2,1,0,0,0,0
Marketing,Artist,2.767842218069962,2,2,0,1,6,1,2,0,3,0,1,0,1,0,0,0,0
Marketing,Acoustics Specialist,3.93042065815363,1,0,3,1,2,0,0,1,1,3,1,1,3,1,0,0,0
Computer Science,Interior Designer,3.272845118630083,6,2,1,0,0,0,3,0,0,2,0,3,4,1,0,0,0
Chemistry,Actuary,3.942509494713492,9,1,2,0,2,1,3,1,2,0,0,2,3,1,0,0,0
Chemistry,Dentist,4.565848763989988,9,2,1,1,5,1,0,3,1,2,1,0,1,1,0,0,0
Music,Music Therapist,3.45206242822771,6,2,4,1,3,0,2,1,3,4,4,3,4,0,0,0,0
Business,Landscape Architect,3.9156942609742016,2,0,0,0,7,1,0,2,1,3,0,2,2,0,0,0,0
Psychology,Biomedical Engineer,3.4713398553946284,9,0,3,1,0,1,4,0,0,3,3,2,0,1,0,0,0
Marketing,Legal Secretary,4.36795643229726,7,1,3,1,4,0,1,3,4,1,4,1,1,1,0,0,0
Architecture,Chemical Engineer,2.895547940326997,8,2,2,1,0,1,4,1,3,4,3,1,4,1,0,0,0
Physics,Astronomer,4.308895919099701,2,0,1,0,1,0,3,2,4,2,3,1,3,1,0,0,0
Chemistry,Organic Chemist,4.0833618625398245,7,0,1,1,5,1,4,1,3,4,1,4,0,1,0,0,0
Computer Science,Animator,4.513594197725976,8,2,1,0,5,1,3,1,0,0,4,0,4,0,0,0,0
Engineering,Zoologist,2.966120105564698,3,1,3,0,8,1,1,2,3,0,3,1,1,1,0,0,0
Engineering,Biomedical Engineer,3.409148680327732,6,2,3,0,7,0,1,2,2,2,0,0,1,0,0,0,0
Marketing,Music Teacher,4.079120339560614,5,1,3,0,5,0,0,0,0,0,4,0,2,0,0,0,0
Medicine,Nurse,4.880409785984379,3,0,1,1,4,0,1,4,3,1,3,2,4,1,0,0,0
Engineering,Legal Consultant,4.072392548064631,8,1,3,0,2,0,4,0,4,4,4,4,3,1,0,0,0
Marketing,Curriculum Developer,2.884064393203676,4,1,2,0,8,0,2,1,2,0,1,2,3,1,0,0,0
Music,Civil Engineer,3.1479830280031185,8,1,3,1,1,1,3,1,0,0,0,1,1,0,0,0,0
Architecture,Software Developer,4.450911168580807,8,0,2,1,6,1,1,2,1,2,3,0,0,1,0,0,0
Finance,Biochemist,4.804682988310068,1,2,4,0,6,0,4,1,2,2,3,2,0,1,0,0,0
Business,Software Developer,4.003754338502018,8,2,1,0,6,1,0,4,4,0,2,3,2,1,0,0,0
Business,Web Developer,4.570196678252482,5,1,1,1,1,0,2,2,0,1,0,3,4,1,0,0,0
Biology,Architect,3.1387198663822367,2,0,2,0,1,1,1,4,1,3,3,0,0,1,0,0,0
Finance,Construction Manager,4.414580737184015,9,1,2,1,2,1,0,1,0,1,0,4,3,0,0,0,0
Marketing,Graphic Designer,2.721829040517122,3,1,2,1,6,0,4,2,0,0,4,2,4,1,0,0,0
Business,Risk Analyst,4.98173947780012,3,1,2,1,5,1,3,2,0,0,4,4,3,0,0,0,0
Architecture,Music Therapist,2.896821226895141,7,2,0,1,1,1,3,1,2,1,0,2,0,1,0,0,0
Art,Biomedical Engineer,3.322279400547208,1,0,4,0,5,1,4,2,3,2,0,1,4,1,0,0,0
Architecture,Zoologist,3.720865401745997,4,1,3,1,2,0,0,1,1,3,2,2,2,1,0,0,0
Business,Investment Banker,3.656134112635971,3,0,4,0,1,1,0,0,4,2,1,3,3,0,0,0,0
Biology,Game Developer,4.680543589762815,1,0,4,0,4,0,4,1,3,4,1,2,3,0,0,0,0
Finance,Construction Manager,3.5406792476043205,2,2,4,1,5,0,1,3,3,2,2,1,3,0,0,0,0
Marketing,Analytical Chemist,3.851035641318067,4,1,3,0,9,1,1,0,3,1,2,2,4,0,0,0,0
Education,School Psychologist,3.690179762543067,7,2,2,1,9,1,0,3,2,3,1,4,2,1,0,0,0
Engineering,Chemist,2.904276111470244,4,1,3,0,9,0,0,4,3,0,0,2,4,0,0,0,0
Music,Inorganic Chemist,3.5715372051038616,5,1,0,0,6,1,4,4,4,0,2,1,4,0,0,0,0
Art,Art Director,2.804905802367072,2,2,3,0,2,0,1,1,2,1,2,0,4,0,0,0,0
Medicine,Music Therapist,3.353321389356216,0,1,3,0,7,1,0,0,3,3,4,1,4,1,0,0,0
Business,Data Scientist,3.108749716678445,6,0,1,1,7,1,4,4,1,4,1,4,0,0,0,0,0
Architecture,Accountant,4.118273725440004,7,1,3,1,9,0,2,0,0,1,0,2,2,0,0,0,0
Psychology,Special Education Teacher,4.963985951202176,0,1,2,0,9,0,4,4,1,4,1,1,1,0,0,0,0
Chemistry,Pharmacist,4.80465554005941,2,0,2,1,6,0,1,0,1,4,1,2,1,0,0,0,0
Finance,Financial Analyst,2.700773559372515,5,0,3,1,8,1,2,3,1,3,2,3,2,1,0,0,0
Marketing,Principal,3.1410770620679367,9,1,2,1,5,0,3,4,3,2,0,4,4,0,0,0,0
Psychology,Digital Marketing Specialist,4.97981233718659,1,0,3,0,5,1,3,1,1,0,0,2,0,1,0,0,0
Medicine,Fluid Mechanics Engineer,4.031539630293674,9,0,3,1,7,1,0,0,1,1,1,1,2,0,0,0,0
Medicine,Advertising Manager,2.9536008704304835,9,0,0,1,6,1,1,3,0,3,1,0,0,1,0,0,0
Medicine,Aerospace Engineer,4.288515704810253,7,1,0,1,3,0,0,1,3,4,1,0,3,1,0,0,0
Finance,Mechanical Engineer,3.3274408007378207,5,0,0,1,3,0,2,0,4,1,4,2,3,1,0,0,0
Education,Inorganic Chemist,4.434419461952392,5,1,2,0,9,1,3,1,0,3,3,3,0,1,0,0,0
Finance,Software Developer,4.489898353129243,5,0,2,0,5,1,4,1,0,0,1,4,3,1,0,0,0
Chemistry,Industrial-Organizational Psychologist,3.09882846394756,9,0,1,1,4,1,2,0,1,1,3,0,4,0,0,0,0
Engineering,Actuary,3.148532439341283,0,1,1,1,3,0,4,4,3,1,3,1,4,0,0,0,0
Psychology,Manager,4.946497618234126,3,1,3,1,1,1,1,0,0,1,2,4,3,0,0,0,0
Law,Risk Analyst,2.942114261569148,8,2,4,1,4,0,0,4,3,3,2,0,3,0,0,0,0
Computer Science,Construction Manager,3.568052007762488,5,1,1,1,4,0,1,4,3,3,4,4,3,1,0,0,0
Psychology,Biologist,4.8419642332465225,6,2,1,1,0,0,4,4,3,1,0,0,2,1,0,0,0
Chemistry,Legal Consultant,4.784433016197197,0,2,4,0,1,1,4,2,4,0,1,0,4,1,0,0,0
Music,Cybersecurity Analyst,4.844691084959512,4,2,1,0,5,1,4,2,2,3,0,0,0,1,0,0,0
Business,Psychologist,2.7366523722458016,2,2,0,0,3,0,1,0,3,4,1,3,1,1,0,0,0
Law,Conductor,2.8572916874039227,9,1,1,1,8,1,3,3,0,4,1,2,2,1,0,0,0
Finance,Musician,2.8318927223434582,2,0,0,0,0,1,1,2,4,0,0,1,0,0,0,0,0
Medicine,Quantum Physicist,2.9225676227611146,9,1,1,0,5,1,1,1,3,3,0,1,0,0,0,0,0
Art,Composer,4.329947854487081,7,1,0,0,5,1,4,4,4,4,4,4,3,1,0,0,0
Computer Science,Urban Planner,4.270302172612565,4,2,2,1,8,0,1,1,4,3,4,0,3,1,0,0,0
Marketing,Web Developer,3.9217470824320095,0,2,3,1,7,1,4,3,2,2,3,1,3,0,0,0,0
Marketing,Civil Engineer,4.773169897618123,4,0,2,0,5,0,2,2,1,1,4,0,3,1,0,0,0
Music,Biochemist,2.7285586255257464,9,1,0,0,3,1,4,2,3,1,4,4,3,0,0,0,0
Chemistry,Dentist,4.227090230705596,9,2,3,0,6,0,2,1,3,0,3,4,2,0,0,0,0
Engineering,Special Education Teacher,4.324391677289254,5,0,2,0,1,1,1,0,0,2,0,3,2,1,0,0,0
Biology,Organic Chemist,2.8442277221353844,5,2,2,0,0,0,2,3,0,0,1,4,0,0,0,0,0
Education,Digital Marketing Specialist,4.860005103276796,3,0,1,0,5,0,2,4,4,2,0,3,0,0,0,0,0
Finance,Legal Consultant,4.232418287013929,8,1,2,0,0,0,2,2,2,3,2,3,2,1,0,0,0
Computer Science,Pharmacist,2.570033964053364,1,0,3,1,1,0,0,0,3,0,2,2,2,0,0,0,0
Medicine,Special Education Teacher,3.1403263020407377,3,1,4,1,5,1,4,2,0,2,3,2,4,1,0,0,0
Psychology,Biotechnologist,2.6804769950926723,3,2,0,1,4,0,0,0,0,1,0,3,2,0,0,0,0
Architecture,Art Director,4.910965462374742,6,0,3,1,2,1,2,1,3,3,0,1,2,0,0,0,0
Biology,Physical Chemist,2.9004710121277184,0,0,2,0,9,1,0,0,4,3,3,4,0,0,0,0,0
Biology,Brand Manager,3.367809440810041,7,2,3,0,6,0,1,0,3,4,3,4,0,0,0,0,0
Architecture,Inorganic Chemist,4.211817026159037,8,0,0,0,6,0,0,2,1,4,4,3,0,1,0,0,0
Chemistry,Legal Consultant,2.710316957673639,7,1,0,0,9,1,1,4,2,2,4,1,1,0,0,0,0
Psychology,Forensic Psychologist,4.813356405229975,6,0,2,1,0,1,0,4,2,3,2,3,3,0,0,0,0
Medicine,Physical Chemist,3.2210095901722107,2,1,2,1,8,0,3,2,0,0,0,0,3,0,0,0,0
Law,Legal Analyst,3.458602337458382,5,1,3,0,2,1,2,1,2,4,2,4,0,0,0,0,0
Biology,Illustrator,2.587772190845789,6,0,0,1,9,1,0,1,3,3,2,3,0,0,0,0,0
Biology,Legal Analyst,3.5177457779973405,3,1,2,1,8,0,4,3,3,3,1,3,4,1,0,0,0
Art,Landscape Architect,4.474534296871223,5,1,2,1,3,1,2,3,2,0,0,3,2,0,0,0,0
Computer Science,Electrical Engineer,3.246009415877806,8,0,1,0,7,0,1,4,0,4,3,0,0,0,0,0,0
Physics,Ecologist,4.866727517831674,1,1,3,0,4,0,1,3,1,3,3,3,3,0,0,0,0
Medicine,Investment Banker,3.656642158463877,8,2,2,0,0,0,0,1,2,1,4,1,4,0,0,0,0
Music,Legal Secretary,4.233320187856757,1,0,3,0,4,1,4,3,0,0,0,3,3,0,0,0,0
Biology,Digital Marketing Specialist,2.5750569415538203,4,2,3,0,5,0,2,3,3,3,4,2,3,0,0,0,0
Marketing,Market Research Analyst,4.667307110789476,4,2,2,0,8,0,3,1,3,3,1,3,1,1,0,0,0
Chemistry,Data Scientist,4.208145911143043,8,2,4,1,0,0,3,1,3,3,2,4,0,1,0,0,0
Chemistry,Cybersecurity Analyst,4.913237023860994,5,1,3,0,7,0,0,4,3,3,4,4,4,1,0,0,0
Physics,Marketing Manager,4.974768783245132,4,2,4,1,4,0,0,3,3,0,4,3,3,0,0,0,0
Engineering,Marketing Specialist,4.999330581432263,7,1,4,1,7,1,1,2,4,1,4,4,4,1,0,0,0
Biology,Architectural Technologist,4.327125619257021,1,2,1,0,9,0,0,0,0,3,0,0,4,1,0,0,0
Psychology,Cybersecurity Analyst,3.947128679720315,9,0,4,1,9,1,0,0,0,3,4,3,2,0,0,0,0
Chemistry,Nurse,3.808824007043836,4,1,3,1,1,1,3,0,1,3,1,3,4,0,0,0,0
Finance,Legal Secretary,3.2661935112806586,8,0,2,0,1,1,2,2,4,0,0,2,2,0,0,0,0
Medicine,Electrical Engineer,4.535038582814483,5,0,3,1,6,1,4,3,4,0,1,1,3,0,0,0,0
Medicine,Credit Analyst,4.059626368366994,0,0,4,1,7,0,3,0,2,1,2,0,2,0,0,0,0
Art,Nurse,3.161821736340002,8,1,2,1,7,1,2,1,3,3,2,0,0,0,0,0,0
Physics,Physician Assistant,4.893662289514454,1,2,4,0,9,0,0,2,1,0,3,3,2,1,0,0,0
Art,Analytical Chemist,3.665565635571012,4,1,0,1,9,0,1,1,1,4,3,0,4,0,0,0,0
Law,Inorganic Chemist,3.508612031722521,4,2,4,0,4,1,3,2,1,3,3,1,4,0,0,0,0
Psychology,Urban Planner,4.066659819095489,5,1,4,0,8,1,3,1,2,4,4,0,1,1,0,0,0
Marketing,Industrial-Organizational Psychologist,2.7663130583164137,0,2,4,0,5,0,0,3,0,0,3,1,1,1,0,0,0
Art,Doctor,3.476694363201802,4,0,2,0,6,1,3,4,4,4,4,2,0,0,0,0,0
Psychology,Physicist,2.8888746942900165,7,2,3,0,9,1,1,2,4,3,4,2,4,1,0,0,0
Physics,Risk Analyst,4.738447243509663,5,2,4,0,4,1,0,2,3,3,1,3,1,0,0,0,0
Law,Biochemist,4.668327046159529,2,0,2,0,8,1,4,3,4,0,3,4,0,0,0,0,0
Finance,Education Administrator,2.8907330590900697,1,2,0,1,5,0,4,4,3,2,2,4,4,0,0,0,0
Architecture,Legal Analyst,4.181146331924776,4,1,2,1,1,1,1,3,2,3,2,4,3,1,0,0,0
Medicine,Civil Engineer,2.7788353224114584,3,0,1,1,8,1,0,1,1,2,3,0,2,1,0,0,0
Education,Geneticist,3.7478446735368864,8,0,1,0,6,1,2,0,3,2,4,0,4,0,0,0,0
Education,Manager,4.703454724004015,8,0,3,1,3,1,0,4,1,4,0,0,4,1,0,0,0
Engineering,Advertising Manager,3.587360794318797,3,1,1,0,3,0,4,1,1,2,4,4,3,1,0,0,0
Law,Chemical Engineer,3.125604034324163,3,2,1,1,0,1,4,4,4,2,4,3,0,0,0,0,0
Computer Science,Sound Engineer,4.20346156527688,7,1,3,0,7,1,2,3,1,1,2,3,0,0,0,0,0
Biology,Credit Analyst,4.050705676954926,6,2,2,1,6,1,3,4,0,1,0,4,0,1,0,0,0
Psychology,Brand Manager,4.411934498793247,9,2,4,0,7,0,4,2,4,3,3,3,3,1,0,0,0
Medicine,Teacher,3.2616513873191497,5,2,2,0,8,1,3,4,0,0,4,3,1,0,0,0,0
Art,Acoustics Specialist,2.850100871049182,8,0,2,0,8,1,2,3,0,1,4,3,2,1,0,0,0
Music,Acoustics Specialist,4.329258935051668,1,2,1,1,5,0,0,2,4,2,4,1,2,1,0,0,0
Biology,Quantum Physicist,4.2551413838908285,3,0,0,1,9,0,0,3,0,3,3,2,0,1,0,0,0
Business,Music Teacher,3.868288782433178,4,2,3,0,8,0,2,3,4,2,2,1,1,1,0,0,0
Medicine,Lawyer,3.266538240940534,8,0,3,0,0,1,4,2,4,4,1,1,2,0,0,0,0
Biology,Advertising Manager,4.991145418478679,5,1,2,1,7,1,1,2,4,4,0,4,0,0,0,0,0
Law,Aerospace Engineer,4.465419975571884,8,2,2,0,2,1,3,1,2,0,1,3,1,0,0,0,0
Biology,Mechanical Engineer,4.431485172025243,5,2,0,1,5,1,3,2,0,2,3,0,4,0,0,0,0
Music,Nurse,4.625849303720974,0,1,1,0,8,0,4,1,3,4,0,1,4,1,0,0,0
Finance,Advertising Manager,4.008209051718943,3,0,0,1,7,1,2,1,3,0,0,0,2,0,0,0,0
Computer Science,Financial Analyst,4.630926056299487,8,2,2,1,1,0,1,2,2,2,1,1,2,0,0,0,0
Biology,Inorganic Chemist,4.10867958228191,5,2,2,0,4,1,4,1,3,4,2,4,3,0,0,0,0
Medicine,Special Education Teacher,2.6309330908387456,0,0,1,1,1,1,2,1,2,0,0,4,4,0,0,0,0
Chemistry,Interior Designer,3.652558707271316,3,2,0,1,2,0,1,3,0,3,0,4,3,0,0,0,0
Music,Teacher,2.798324605616324,7,2,1,0,2,1,0,3,1,2,1,2,3,0,0,0,0
Business,Fluid Mechanics Engineer,3.834980909106675,6,1,4,0,0,0,1,4,4,3,4,1,2,0,0,0,0
Marketing,Artist,4.716951938231046,6,2,0,1,0,0,2,2,1,3,4,4,2,0,0,0,0
Architecture,Teacher,4.898186716205212,4,1,2,0,1,1,3,4,2,2,2,3,1,1,0,0,0
Finance,Principal,4.160724083330697,3,0,3,1,8,1,4,0,2,3,3,4,1,0,0,0,0
Medicine,Teacher,3.972879632011275,1,0,4,1,0,0,2,1,2,4,4,3,2,1,0,0,0
Education,Financial Advisor,4.65730735015493,6,2,1,1,1,1,3,1,0,0,3,1,3,0,0,0,0
Law,Nurse,3.0595783475027627,3,1,3,1,9,1,2,1,3,3,2,4,4,1,0,0,0
Education,Illustrator,2.817958136929298,3,0,4,1,6,1,0,4,3,4,1,3,2,0,0,0,0
Finance,Marketing Specialist,4.1726064815789545,4,1,0,0,2,1,1,4,4,2,2,4,4,0,0,0,0
Biology,Accountant,3.079459469292483,9,0,2,1,8,0,2,0,0,3,0,4,0,0,0,0,0
Marketing,Marketing Specialist,4.486900033314599,1,0,4,1,0,1,4,2,4,1,1,2,2,0,0,0,0
Education,Physical Chemist,3.6174336709955552,6,1,4,1,4,1,4,4,4,4,0,4,0,0,0,0,0
Psychology,Human Resources Specialist,3.926889204981678,2,1,4,0,2,1,0,2,2,4,3,1,4,1,0,0,0
Business,Organic Chemist,2.8953839187410795,5,0,3,1,7,1,2,2,3,2,3,2,0,1,0,0,0
Art,Curriculum Developer,4.164288462463572,1,0,3,0,3,0,0,2,1,0,2,1,0,1,0,0,0
Music,Financial Analyst,4.951268699389723,8,2,0,0,9,1,1,4,3,0,2,2,1,0,0,0,0
